"","Yb173Di","barcode","type"
"723",29,"none","real cells"
"724",1174,"none","real cells"
"725",114,"none","real cells"
"726",1083,"none","real cells"
"727",79,"none","real cells"
"728",927,"none","real cells"
"729",117,"none","real cells"
"730",100,"none","real cells"
"731",66,"none","real cells"
"732",1,"none","real cells"
"733",19,"none","real cells"
"734",1049,"none","real cells"
"735",17,"none","real cells"
"736",976,"none","real cells"
"737",59,"none","real cells"
"738",39,"none","real cells"
"739",25,"none","real cells"
"740",756,"none","real cells"
"741",1408,"none","real cells"
"742",108,"none","real cells"
"743",979,"none","real cells"
"744",81,"none","real cells"
"745",58,"none","real cells"
"746",89,"none","real cells"
"747",1046,"none","real cells"
"748",43,"none","real cells"
"749",941,"none","real cells"
"750",116,"none","real cells"
"751",59,"none","real cells"
"752",724,"none","real cells"
"753",85,"none","real cells"
"754",1170,"none","real cells"
"755",26,"none","real cells"
"756",58,"none","real cells"
"757",72,"none","real cells"
"758",919,"none","real cells"
"759",2,"none","real cells"
"760",682,"none","real cells"
"761",1284,"none","real cells"
"762",33,"none","real cells"
"763",754,"none","real cells"
"764",46,"none","real cells"
"765",1152,"none","real cells"
"766",17,"none","real cells"
"767",1102,"none","real cells"
"768",1316,"none","real cells"
"769",945,"none","real cells"
"770",91,"none","real cells"
"771",1466,"none","real cells"
"772",46,"none","real cells"
"773",134,"none","real cells"
"774",1689,"none","real cells"
"775",1219,"none","real cells"
"776",564,"none","real cells"
"777",1410,"none","real cells"
"778",79,"none","real cells"
"779",31,"none","real cells"
"780",1015,"none","real cells"
"781",1113,"none","real cells"
"782",1241,"none","real cells"
"783",993,"none","real cells"
"784",120,"none","real cells"
"785",920,"none","real cells"
"786",1031,"none","real cells"
"787",1347,"none","real cells"
"788",1083,"none","real cells"
"789",1179,"none","real cells"
"790",1222,"none","real cells"
"791",1056,"none","real cells"
"792",1615,"none","real cells"
"793",1380,"none","real cells"
"794",95,"none","real cells"
"795",1030,"none","real cells"
"796",66,"none","real cells"
"797",887,"none","real cells"
"798",928,"none","real cells"
"799",189,"none","real cells"
"800",1135,"none","real cells"
"801",657,"none","real cells"
"802",47,"none","real cells"
"803",34,"none","real cells"
"804",1125,"none","real cells"
"805",43,"none","real cells"
"806",840,"none","real cells"
"807",1332,"none","real cells"
"808",52,"none","real cells"
"809",38,"none","real cells"
"810",84,"none","real cells"
"811",58,"none","real cells"
"812",557,"none","real cells"
"813",1058,"none","real cells"
"814",609,"none","real cells"
"815",83,"none","real cells"
"816",98,"none","real cells"
"817",45,"none","real cells"
"818",860,"none","real cells"
"819",60,"none","real cells"
"820",607,"none","real cells"
"821",1122,"none","real cells"
"822",924,"none","real cells"
