"","Yb173Di","barcode","type"
"489",1171,"Yb173Di","beads"
"490",5,"Yb171Di","beads"
"491",1153,"Yb173Di","beads"
"492",0,"Yb174Di","beads"
"493",1145,"Yb173Di","beads"
"494",1218,"Yb173Di","beads"
"495",1170,"Yb173Di","beads"
"496",5,"Yb176Di","beads"
"497",4,"Yb174Di","beads"
"498",3,"Yb171Di","beads"
"499",34,"Yb172Di","beads"
"500",64,"Yb172Di","beads"
"501",1343,"Yb173Di","beads"
"502",2,"Yb174Di","beads"
"503",3,"Yb176Di","beads"
"504",1431,"Yb173Di","beads"
"505",1058,"Yb173Di","beads"
"506",4,"Yb171Di","beads"
"507",48,"Yb172Di","beads"
"508",3,"Yb174Di","beads"
"509",4,"Yb176Di","beads"
"510",45,"Yb172Di","beads"
"511",0,"Yb171Di","beads"
"512",2,"Yb174Di","beads"
"513",9,"Yb176Di","beads"
"514",10,"Yb176Di","beads"
"515",5,"Yb174Di","beads"
"516",10,"Yb176Di","beads"
"517",1470,"Yb173Di","beads"
"518",7,"Yb176Di","beads"
"519",3,"Yb176Di","beads"
"520",1189,"Yb173Di","beads"
"521",2,"Yb171Di","beads"
"522",7,"Yb176Di","beads"
"523",3,"Yb176Di","beads"
"524",5,"Yb174Di","beads"
"525",3,"Yb174Di","beads"
"526",1367,"Yb173Di","beads"
"527",2,"Yb171Di","beads"
"528",1124,"Yb173Di","beads"
"529",2017,"Yb173Di","beads"
"530",14,"Yb174Di","beads"
"531",1,"Yb171Di","beads"
"532",10,"Yb174Di","beads"
"533",3,"Yb171Di","beads"
"534",50,"Yb172Di","beads"
"535",1113,"Yb173Di","beads"
"536",3,"Yb171Di","beads"
"537",5,"Yb174Di","beads"
"538",49,"Yb172Di","beads"
"539",65,"Yb172Di","beads"
"540",3,"Yb174Di","beads"
"541",1090,"Yb173Di","beads"
"542",10,"Yb176Di","beads"
"543",6,"Yb174Di","beads"
"544",6,"Yb171Di","beads"
"545",8,"Yb174Di","beads"
"546",1661,"Yb173Di","beads"
"547",3,"Yb176Di","beads"
"548",2,"Yb171Di","beads"
"549",50,"Yb172Di","beads"
"550",10,"Yb174Di","beads"
"551",2,"Yb176Di","beads"
"552",0,"Yb171Di","beads"
"553",3,"Yb171Di","beads"
"554",1,"Yb171Di","beads"
"555",1065,"Yb173Di","beads"
"556",1158,"Yb173Di","beads"
"557",1159,"Yb173Di","beads"
"558",1446,"Yb173Di","beads"
"559",41,"Yb172Di","beads"
"560",0,"Yb171Di","beads"
"561",0,"Yb176Di","beads"
"562",5,"Yb176Di","beads"
"563",11,"Yb174Di","beads"
"564",11,"Yb176Di","beads"
"565",5,"Yb176Di","beads"
"566",1094,"Yb173Di","beads"
"567",5,"Yb171Di","beads"
"568",0,"Yb171Di","beads"
"569",44,"Yb172Di","beads"
"570",63,"Yb172Di","beads"
"571",40,"Yb172Di","beads"
"572",1011,"Yb173Di","beads"
"573",4,"Yb176Di","beads"
"574",32,"Yb172Di","beads"
"575",1,"Yb171Di","beads"
"576",3,"Yb171Di","beads"
"577",1057,"Yb173Di","beads"
"578",5,"Yb171Di","beads"
"579",43,"Yb172Di","beads"
"580",3,"Yb171Di","beads"
"581",2,"Yb171Di","beads"
"582",9,"Yb174Di","beads"
"583",6,"Yb174Di","beads"
"584",1069,"Yb173Di","beads"
"585",35,"Yb172Di","beads"
"586",15,"Yb174Di","beads"
"587",1119,"Yb173Di","beads"
"588",42,"Yb172Di","beads"
"589",1204,"Yb173Di","beads"
"590",36,"Yb172Di","beads"
"591",0,"Yb171Di","beads"
"592",2,"Yb171Di","beads"
"593",1469,"Yb173Di","beads"
"594",13,"Yb174Di","beads"
"595",2,"Yb176Di","beads"
"596",11,"Yb174Di","beads"
"597",3,"Yb171Di","beads"
"598",1531,"Yb173Di","beads"
"599",5,"Yb176Di","beads"
"600",35,"Yb172Di","beads"
"601",3,"Yb174Di","beads"
"602",1434,"Yb173Di","beads"
"603",6,"Yb171Di","beads"
"604",1142,"Yb173Di","beads"
"605",26,"Yb172Di","beads"
"606",3,"Yb174Di","beads"
"607",1059,"Yb173Di","beads"
"608",10,"Yb176Di","beads"
"609",8,"Yb174Di","beads"
"610",12,"Yb174Di","beads"
"611",1,"Yb171Di","beads"
"612",3,"Yb171Di","beads"
"613",1138,"Yb173Di","beads"
"614",1155,"Yb173Di","beads"
"615",1458,"Yb173Di","beads"
"616",2,"Yb171Di","beads"
"617",55,"Yb172Di","beads"
"618",7,"Yb176Di","beads"
"619",1,"Yb174Di","beads"
"620",4,"Yb174Di","beads"
"621",1373,"Yb173Di","beads"
"622",6,"Yb171Di","beads"
"623",39,"Yb172Di","beads"
"624",3,"Yb176Di","beads"
"625",0,"Yb171Di","beads"
"626",0,"Yb171Di","beads"
"627",1630,"Yb173Di","beads"
"628",116,"Yb172Di","beads"
"629",6,"Yb176Di","beads"
"630",1166,"Yb173Di","beads"
"631",1,"Yb174Di","beads"
"632",2,"Yb176Di","beads"
"633",10,"Yb174Di","beads"
"634",36,"Yb172Di","beads"
"635",948,"Yb173Di","beads"
"636",4,"Yb174Di","beads"
"637",4,"Yb171Di","beads"
"638",40,"Yb172Di","beads"
"639",1322,"Yb173Di","beads"
"640",32,"Yb172Di","beads"
"641",0,"Yb174Di","beads"
"642",1,"Yb171Di","beads"
"643",4,"Yb176Di","beads"
"644",8,"Yb174Di","beads"
"645",4,"Yb174Di","beads"
"646",1254,"Yb173Di","beads"
"647",1272,"Yb173Di","beads"
"648",1133,"Yb173Di","beads"
"649",0,"Yb176Di","beads"
"650",1182,"Yb173Di","beads"
"651",1147,"Yb173Di","beads"
"652",8,"Yb174Di","beads"
"653",5,"Yb174Di","beads"
"654",34,"Yb172Di","beads"
"655",3,"Yb176Di","beads"
"656",0,"Yb171Di","beads"
"657",1555,"Yb173Di","beads"
"658",1,"Yb174Di","beads"
"659",1240,"Yb173Di","beads"
"660",43,"Yb172Di","beads"
"661",5,"Yb174Di","beads"
"662",10,"Yb176Di","beads"
"663",1,"Yb171Di","beads"
"664",19,"Yb172Di","beads"
"665",34,"Yb172Di","beads"
"666",1039,"Yb173Di","beads"
"667",1100,"Yb173Di","beads"
"668",1224,"Yb173Di","beads"
"669",1378,"Yb173Di","beads"
"670",21,"Yb174Di","beads"
"671",43,"Yb172Di","beads"
"672",3,"Yb174Di","beads"
"673",47,"Yb172Di","beads"
"674",1035,"Yb173Di","beads"
"675",6,"Yb174Di","beads"
"676",48,"Yb172Di","beads"
"677",12,"Yb176Di","beads"
"678",1105,"Yb173Di","beads"
"679",3,"Yb171Di","beads"
"680",4,"Yb171Di","beads"
"681",3,"Yb174Di","beads"
"682",4,"Yb176Di","beads"
"683",4,"Yb171Di","beads"
"684",1157,"Yb173Di","beads"
"685",4,"Yb174Di","beads"
"686",1172,"Yb173Di","beads"
"687",32,"Yb172Di","beads"
"688",3,"Yb174Di","beads"
"689",33,"Yb172Di","beads"
"690",2,"Yb174Di","beads"
"691",5,"Yb174Di","beads"
"692",39,"Yb172Di","beads"
"693",6,"Yb176Di","beads"
"694",14,"Yb174Di","beads"
"695",46,"Yb172Di","beads"
"696",1098,"Yb173Di","beads"
"697",45,"Yb172Di","beads"
"698",986,"Yb173Di","beads"
"699",42,"Yb172Di","beads"
"700",27,"Yb172Di","beads"
"701",1970,"Yb173Di","beads"
"702",2,"Yb176Di","beads"
